,Course,College,Pr1,Pr2,Pr3,Pr4,Pr5,Oapr,SUM,AVG,English,Quanty
1567,BAHISTORY,CLA,83.47,20.09,51.68,18.16,63.1,62.48,236.5,47.3,103.56,81.26
1692,BS ECO,CLA,72.78,71.99,29.96,63.45,20.6,62.48,258.78,51.756,144.77,84.05
1708,BS ECO,CLA,66.01,35.7,59.25,53.82,72.9,62.48,287.68,57.536,101.71,126.72
1717,BS ECO,CLA,55.84,66.85,76.79,24.91,63.1,62.48,287.49,57.498,122.69,88.01
1746,BS ECO,CLA,55.84,71.99,72.66,34.54,53.29,62.48,288.32,57.664,127.83,87.83
1752,BS PSYCH,CLA,78.85,48.4,51.68,79.96,1.06,62.48,259.95,51.99,127.25,81.02
1824,BS PSYCH,CLA,66.01,61.11,24.36,89.31,26.06,62.48,266.85,53.37,127.12,115.37
1986,BSN,CN,47,71.99,66.81,53.82,72.9,62.48,312.52,62.504,118.99,126.72
2125,BPE,CCSPE,49.95,90.94,29.96,63.45,63.1,62.48,297.4,59.48,140.89,126.55
2146,BPE,CCSPE,41.05,77.12,59.25,79.96,53.29,62.48,310.67,62.134,118.17,133.25
2164,BPE,CCSPE,70.75,54.75,72.66,24.91,33.69,62.48,256.76,51.352,125.5,58.6
2182,BPE,CCSPE,28.82,82.26,66.81,63.45,87.72,62.48,329.06,65.812,111.08,151.17
2197,BPED,CCSPE,78.85,25.06,66.81,53.82,26.06,62.48,250.6,50.12,103.91,79.88
2246,BS BIO,CSM,58.56,54.75,80.93,44.18,43.49,62.48,281.91,56.382,113.31,87.67
2391,BS CHEM,CSM,41.05,54.75,80.93,79.96,53.29,62.48,309.98,61.996,95.8,133.25
2424,BS MATH,CSM,61.05,35.7,59.25,70.61,72.9,62.48,299.51,59.902,96.75,143.51
2427,BS PHYSICS,CSM,31.88,82.26,44.12,93.38,53.29,62.48,304.93,60.986,114.14,146.67
2454,BS STAT,CSM,70.75,35.7,59.25,70.61,33.69,62.48,270,54,106.45,104.3
2455,BS STAT,CSM,66.01,61.11,36.55,53.82,63.1,62.48,280.59,56.118,127.12,116.92
2477,BS CD,CSWCD,66.01,66.85,51.68,34.54,53.29,62.48,272.37,54.474,132.86,87.83
2489,BS CD,CSWCD,72.78,48.4,18.75,70.61,63.1,62.48,273.64,54.728,121.18,133.71
2551,BSSW,CSWCD,66.01,77.12,24.36,70.61,33.69,62.48,271.79,54.358,143.13,104.3
2571,BSSW,CSWCD,68.5,61.11,51.68,34.54,53.29,62.48,269.12,53.824,129.61,87.83
2614,BCAE,CTE,55.84,87.4,51.68,34.54,53.29,62.48,282.75,56.55,143.24,87.83
2661,BEED,CTE,78.85,20.09,29.96,70.61,63.1,62.48,262.61,52.522,98.94,133.71
2669,BEED,CTE,58.56,66.85,66.81,63.45,33.69,62.48,289.36,57.872,125.41,97.14
2832,BSNE,CTE,70.75,77.12,51.68,6.59,63.1,62.48,269.24,53.848,147.87,69.69
14,BS AGRI,College of Agriculture,61.05,48.4,89.19,44.18,33.69,63.6,276.51,55.302,109.45,77.87
36,BSAB,College of Agriculture,74.8,66.85,36.55,18.16,63.1,63.6,259.46,51.892,141.65,81.26
42,BS ARCH,College of Architecture,63.53,54.75,66.81,53.82,53.29,63.6,292.2,58.44,118.28,107.11
52,BS ARCH,College of Architecture,49.95,77.12,72.66,34.54,72.9,63.6,307.17,61.434,127.07,107.44
56,BS ARCH,College of Architecture,68.5,48.4,66.81,34.54,63.1,63.6,281.35,56.27,116.9,97.64
105,BS ARCH,College of Architecture,37.99,61.11,85.06,84.63,43.49,63.6,312.28,62.456,99.1,128.12
146,BS ARCH,College of Architecture,61.05,82.26,66.81,44.18,26.06,63.6,280.36,56.072,143.31,70.24
170,BS ARCH,College of Architecture,44.05,61.11,85.06,70.61,53.29,63.6,314.12,62.824,105.16,123.9
174,BS ARCH,College of Architecture,52.9,61.11,85.06,24.91,72.9,63.6,296.88,59.376,114.01,97.81
193,AB AS,CAIS,61.05,71.99,44.12,18.16,87.72,63.6,283.04,56.608,133.04,105.88
200,AB AS,CAIS,76.83,42.05,59.25,53.82,26.06,63.6,258.01,51.602,118.88,79.88
368,BS CRIM,CCJE,68.5,42.05,66.81,34.54,72.9,63.6,284.8,56.96,110.55,107.44
