,Course,College,Pr1,Pr2,Pr3,Pr4,Pr5,Oapr,SUM,AVG,English,Quanty
18,BSIE,COE,80.58,30.03,66.81,18.16,63.1,64.72,258.68,51.736,110.61,81.26
19,BS ABE,COE,63.53,66.85,66.81,44.18,63.1,65.83,304.47,60.894,130.38,107.28
20,BS EE,COE,31.88,66.85,93.41,53.82,83.75,65.83,329.71,65.942,98.73,137.57
21,BS EE,COE,55.84,92.88,76.79,44.18,20.6,65.83,290.29,58.058,148.72,64.78
22,BS EE,COE,88.66,42.05,29.96,18.16,43.49,65.83,222.32,44.464,130.71,61.65
23,BS EE,COE,66.01,42.05,51.68,24.91,97.87,65.83,282.52,56.504,108.06,122.78
24,BS ENE,COE,63.53,54.75,66.81,44.18,79.78,65.83,309.05,61.81,118.28,123.96
25,BS ENE,COE,55.84,61.11,76.79,63.45,63.1,65.83,320.29,64.058,116.95,126.55
26,BS ENE,COE,61.05,48.4,85.06,63.45,43.49,65.83,301.45,60.29,109.45,106.94
27,BSIE,COE,55.84,25.06,66.81,70.61,97.87,65.83,316.19,63.238,80.9,168.48
28,BS ABE,COE,70.75,42.05,44.12,75.28,72.9,66.95,305.1,61.02,112.8,148.18
29,BS ABE,COE,61.05,87.4,66.81,24.91,63.1,66.95,303.27,60.654,148.45,88.01
30,BS ECE,COE,66.01,66.85,51.68,34.54,83.75,66.95,302.83,60.566,132.86,118.29
31,BS EE,COE,44.05,61.11,80.93,79.96,72.9,66.95,338.95,67.79,105.16,152.86
32,BSIE,COE,74.8,87.4,18.75,53.82,43.49,66.95,278.26,55.652,162.2,97.31
33,BSIE,COE,4.68,61.11,94.84,98.97,63.1,66.95,322.7,64.54,65.79,162.07
34,BSIE,COE,80.58,15.12,51.68,75.28,72.9,68.07,295.56,59.112,95.7,148.18
35,BS COE,COE,72.78,42.05,59.25,44.18,87.72,69.19,305.98,61.196,114.83,131.9
36,BS SE,COE,61.05,20.09,72.66,89.31,87.72,69.19,330.83,66.166,81.14,177.03
37,BSIE,COE,63.53,35.7,59.25,92.22,72.9,69.19,323.6,64.72,99.23,165.12
38,BS CE,COE,70.75,61.11,59.25,53.82,79.78,70.3,324.71,64.942,131.86,133.6
39,BS COE,COE,52.9,66.85,85.06,70.61,72.9,70.3,348.32,69.664,119.75,143.51
40,BS EE,COE,70.75,54.75,80.93,53.82,53.29,70.3,313.54,62.708,125.5,107.11
41,BS GE,COE,61.05,35.7,85.06,79.96,72.9,70.3,334.67,66.934,96.75,152.86
42,BS ME,COE,34.94,66.85,96.28,92.22,33.69,70.3,323.98,64.796,101.79,125.91
43,BS ME,COE,74.8,71.99,66.81,53.82,33.69,70.3,301.11,60.222,146.79,87.51
44,BS ABE,COE,58.56,71.99,72.66,70.61,79.78,71.42,353.6,70.72,130.55,150.39
45,BS ENE,COE,74.8,54.75,72.66,92.22,9.69,71.42,304.12,60.824,129.55,101.91
46,BS GE,COE,47.0,54.75,85.06,92.22,72.9,71.42,351.93,70.386,101.75,165.12
47,BS ME,COE,66.01,87.4,76.79,18.16,72.9,71.42,321.26,64.252,153.41,91.06
48,BS CE,COE,44.05,66.85,91.97,84.63,72.9,72.43,360.4,72.08,110.9,157.53
49,BS EE,COE,58.56,77.12,76.79,53.82,83.75,72.43,350.04,70.008,135.68,137.57
50,BS GE,COE,41.05,90.94,76.79,79.96,79.78,72.43,368.52,73.704,131.99,159.74
51,BS ME,COE,63.53,77.12,72.66,63.45,72.9,72.43,349.66,69.932,140.65,136.35
52,BS COE,COE,61.05,82.26,76.79,53.82,79.78,73.34,353.7,70.74,143.31,133.6
53,BS ECE,COE,68.5,90.94,29.96,70.61,79.78,73.34,339.79,67.958,159.44,150.39
54,BS EE,COE,80.58,48.4,51.68,75.28,63.1,73.34,319.04,63.808,128.98,138.38
55,BS ENE,COE,76.83,90.94,51.68,34.54,53.29,73.34,307.28,61.456,167.77,87.83
